#   (GeV)    (pb)       
Mass String
1100 5312.93137758767
1200 3435.0309937336524
1300 2304.4139502741305
1400 1569.8115447896687
1500 1090.9516635659693
1600 770.901859690924
1700 551.9206062572061
1800 399.69535383507633
1900 293.77957451762086
2000 218.15126842827823
2100 162.87634729465125
2200 123.17685479653694
2300 93.63530805932386
2400 71.53697229809124
2500 55.37491301647483
2600 42.75271508357369
2700 33.36378355470234
2800 26.06619302090876
2900 20.311817606835643
3000 16.1180931789545
3100 12.768644973921226
3200 10.142660425967444
3300 8.057990848043234
3400 6.400465846290908
3500 5.115134438331436
3600 4.132099789492928
3700 3.3193854239538734
3800 2.6581204529344302
3900 2.157554604919995
4000 1.7505176068913348
4100 1.4049155245498584
4200 1.140055677916783
4300 0.9253251132104159
4400 0.7522038169131606
4500 0.6119747371392215
4600 0.49612321727328523
4700 0.40492020959456737
4800 0.33091999402250655
4900 0.27017917021492555
5000 0.2201693919322846
5100 0.17830700070267996
5200 0.14564253802358157
5300 0.11940534430331146
5400 0.09694948234356839
5500 0.0793065371847468
5600 0.06446186373361917
5700 0.05282660618352478
5800 0.0428516302310620888
5900 0.0348997638039910363
6000 0.0283334766442618227
6100 0.0231416918363592127
6200 0.0187417921340763783
6300 0.0153501307395115115
6400 0.0124396534127133717
6500 0.0100542205744949455
6600 0.0081744954858627415
6700 0.0066338099362915941
6800 0.0053365711503318145
6900 0.00430912459914657443
7000 0.00346381039244064343
7100 0.00278602671711227174
7200 0.00225154342228859257
7300 0.0018082930150063248
7400 0.00143929440338502119
7500 0.0011581373956044489
7600 0.00091869589873893118
7700 0.00073410823691329855
7800 0.00058669382997948734
7900 0.0004661568745858897
8000 0.000368716655469570365
8100 0.000293168485206959169
8200 0.000230224535021638668
8300 0.000182317101888465142
8400 0.000143263359883433282
8500 0.000112630538527214965
8600 0.000088189175598406759
8700 0.000068708474367442343
8800 0.000053931726669273556
8900 0.0000416417855733682702
9000 0.0000326529676755488658
9100 0.0000254365480426201587
9200 0.0000198410151166864761
9300 0.0000154034425617473576
9400 0.0000119095554601641413
9500 9.2537574320108232e-6
9600 7.2155417437856749e-6
9700 5.6130924422251982e-6
9800 4.36634755605624901e-6
9900 3.39717456406994868e-6
10000 2.6766018046173896e-6
