#  Dijet Resonance Cross Section for sqrt{s}=13 TeV, |eta|<2.5, |delta eta|<1.3
#   (GeV)    (pb)         (pb)        (pb)        (pb)        (pb)        (pb)
   Mass      q*       Axigluon    E6Diquark      Z'          W'       RSGraviton
  5200.0  0.6373E-02  0.5085E-02  0.1922E-01  0.1826E-03  0.2642E-03  0.8669E-04
  5300.0  0.5155E-02  0.4091E-02  0.1613E-01  0.1474E-03  0.2077E-03  0.6953E-04
  5400.0  0.4169E-02  0.3288E-02  0.1352E-01  0.1188E-03  0.1629E-03  0.5573E-04
  5500.0  0.3371E-02  0.2639E-02  0.1132E-01  0.9566E-04  0.1275E-03  0.4462E-04
  5600.0  0.2725E-02  0.2115E-02  0.9463E-02  0.7690E-04  0.9957E-04  0.3568E-04
  5700.0  0.2202E-02  0.1693E-02  0.7900E-02  0.6173E-04  0.7757E-04  0.2850E-04
  5800.0  0.1779E-02  0.1353E-02  0.6584E-02  0.4947E-04  0.6027E-04  0.2273E-04
  5900.0  0.1437E-02  0.1079E-02  0.5479E-02  0.3957E-04  0.4670E-04  0.1810E-04
  6000.0  0.1159E-02  0.8594E-03  0.4551E-02  0.3159E-04  0.3610E-04  0.1439E-04
  6100.0  0.9353E-03  0.6830E-03  0.3774E-02  0.2516E-04  0.2783E-04  0.1142E-04
  6200.0  0.7541E-03  0.5417E-03  0.3124E-02  0.2001E-04  0.2140E-04  0.9042E-05
  6300.0  0.6076E-03  0.4286E-03  0.2581E-02  0.1587E-04  0.1641E-04  0.7147E-05
  6400.0  0.4891E-03  0.3383E-03  0.2128E-02  0.1255E-04  0.1254E-04  0.5635E-05
  6500.0  0.3935E-03  0.2664E-03  0.1750E-02  0.9906E-05  0.9561E-05  0.4433E-05
  6600.0  0.3164E-03  0.2092E-03  0.1437E-02  0.7795E-05  0.7269E-05  0.3479E-05
  6700.0  0.2541E-03  0.1638E-03  0.1177E-02  0.6116E-05  0.5510E-05  0.2722E-05
  6800.0  0.2039E-03  0.1279E-03  0.9612E-03  0.4785E-05  0.4167E-05  0.2125E-05
